"Показник","Територіальний розріз","Вид продукції","Елемент","Періодичність","2015","2016","2017","2018","2019","2020","2021"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Дніпропетровська","Олія","Не застосовується","Річна","","","","","12.6","13.1","14.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Дніпропетровська","Картопля","Не застосовується","Річна","","","","","114.1","115.7","119.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Дніпропетровська","Цукор","Не застосовується","Річна","","","","","28.5","27.3","27"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Дніпропетровська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","184.2","185.7","173.5","179.2","177.9","168.1","172.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Хлібні продукти","Не застосовується","Річна","","","","","96.1","93.3","86"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Яйця","Не застосовується","Річна","","","","","255","251","245"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Риба та рибні продукти","Не застосовується","Річна","9.8","10.5","11.2","12.1","12.9","12.5","12.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Плоди, ягоди та виноград","Не застосовується","Річна","40.9","37.7","41.7","43.1","45.6","42.3","43.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","М'ясо та м'ясні продукти","Не застосовується","Річна","53.3","54.3","50.7","49.8","49.7","48.7","46.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Молоко та молочні продукти","Не застосовується","Річна","","","","","170.4","171.2","170.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Олія","Не застосовується","Річна","","","","","11","10.8","12.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Картопля","Не застосовується","Річна","","","","","92.2","92.5","93"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Цукор","Не застосовується","Річна","","","","","28.5","26.8","27.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Донецька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","140.9","147.4","144.2","142.5","143.5","140.4","143.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Хлібні продукти","Не застосовується","Річна","","","","","103.4","103.7","96.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Яйця","Не застосовується","Річна","","","","","321","318","301"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Риба та рибні продукти","Не застосовується","Річна","10","11","14.3","15.7","15","14.4","13.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Плоди, ягоди та виноград","Не застосовується","Річна","47.2","46.6","49","51.6","54.6","49.8","55"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","М'ясо та м'ясні продукти","Не застосовується","Річна","48.7","48.9","50.2","52.7","54.2","54.2","52.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Молоко та молочні продукти","Не застосовується","Річна","","","","","209","202.8","206"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Олія","Не застосовується","Річна","","","","","11.4","11.5","13.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Картопля","Не застосовується","Річна","","","","","181.9","183.5","180.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Цукор","Не застосовується","Річна","","","","","26.8","26.6","26.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Житомирська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","155.3","165.8","160.8","161","164.3","169.2","170"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Хлібні продукти","Не застосовується","Річна","","","","","114","116.7","107.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Яйця","Не застосовується","Річна","","","","","267","281","275"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Риба та рибні продукти","Не застосовується","Річна","5.7","6.7","7.1","7.5","8","8","9.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Плоди, ягоди та виноград","Не застосовується","Річна","48.9","50","51.3","57.3","55.8","52.2","57.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","М'ясо та м'ясні продукти","Не застосовується","Річна","45.7","47.6","47","48.7","49.9","52.2","53.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Молоко та молочні продукти","Не застосовується","Річна","","","","","230.8","232.8","238.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Олія","Не застосовується","Річна","","","","","11.6","12.6","14"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Картопля","Не застосовується","Річна","","","","","151.5","153.5","152.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Цукор","Не застосовується","Річна","","","","","29.4","28.4","28.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Закарпатська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","154.8","162","154.9","162.1","156.7","170.1","173.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Хлібні продукти","Не застосовується","Річна","","","","","88.8","93.2","87.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Яйця","Не застосовується","Річна","","","","","262","275","262"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Риба та рибні продукти","Не застосовується","Річна","9.3","10.3","12.2","13.4","13.6","13.2","13.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Плоди, ягоди та виноград","Не застосовується","Річна","46.5","46.1","49.7","59.4","53.8","52.5","58"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","М'ясо та м'ясні продукти","Не застосовується","Річна","51.6","51","52.2","54.9","55","56.1","55.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Молоко та молочні продукти","Не застосовується","Річна","","","","","171.4","180.4","175.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Олія","Не застосовується","Річна","","","","","11.8","12.2","13.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Картопля","Не застосовується","Річна","","","","","99.5","96.2","97"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Цукор","Не застосовується","Річна","","","","","28.8","27.4","29.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Запорізька","Овочі та баштанні продовольчі культури","Не застосовується","Річна","173.7","167.7","158.1","167.4","164.2","172.6","175.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Хлібні продукти","Не застосовується","Річна","","","","","111.6","112.8","109.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Яйця","Не застосовується","Річна","","","","","264","276","265"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Риба та рибні продукти","Не застосовується","Річна","5.3","6.3","7.3","7.9","9","9.4","9.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Плоди, ягоди та виноград","Не застосовується","Річна","44.2","46.2","49.2","52.7","54.7","54.4","58.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","М'ясо та м'ясні продукти","Не застосовується","Річна","41.7","42.6","43.9","46.7","48.7","49.8","51.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Молоко та молочні продукти","Не застосовується","Річна","","","","","276.7","300.6","279"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Олія","Не застосовується","Річна","","","","","12.3","12.5","14.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Картопля","Не застосовується","Річна","","","","","189.7","187.3","183"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Цукор","Не застосовується","Річна","","","","","32.5","31.5","33.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Івано-Франківська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","135.1","138.4","143.9","145.3","144.8","154.7","156.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Хлібні продукти","Не застосовується","Річна","","","","","80.1","75.9","76.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Яйця","Не застосовується","Річна","","","","","311","301","298"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Риба та рибні продукти","Не застосовується","Річна","12","13.1","15.1","16.3","16.8","16.1","19.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Плоди, ягоди та виноград","Не застосовується","Річна","72.1","73.1","75.8","82.8","81.4","77.5","82.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","М'ясо та м'ясні продукти","Не застосовується","Річна","63.3","62.5","63.8","64","65","60.6","61.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Молоко та молочні продукти","Не застосовується","Річна","","","","","211.2","209.4","212.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Олія","Не застосовується","Річна","","","","","11.4","11.9","13.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Картопля","Не застосовується","Річна","","","","","123.6","118.9","116"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Цукор","Не застосовується","Річна","","","","","24","23.5","24.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Київська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","163.1","170.9","174.1","181.2","181.9","173.3","172.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Хлібні продукти","Не застосовується","Річна","","","","","97.2","100.4","93.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Яйця","Не застосовується","Річна","","","","","323","327","312"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Риба та рибні продукти","Не застосовується","Річна","8.3","9.5","10.7","12","13.5","13.4","14.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Плоди, ягоди та виноград","Не застосовується","Річна","45.4","41.9","45.8","50.5","53.5","49.4","52.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","М'ясо та м'ясні продукти","Не застосовується","Річна","53.2","53.1","54.3","55.8","57.8","57.8","56.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Молоко та молочні продукти","Не застосовується","Річна","","","","","213.8","229.2","230.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Олія","Не застосовується","Річна","","","","","11.5","11.9","13.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Картопля","Не застосовується","Річна","","","","","148","144.8","145.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Цукор","Не застосовується","Річна","","","","","32.7","32.6","33.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Кіровоградська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","174.5","176.5","172.5","182.6","184.6","186.6","187"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Хлібні продукти","Не застосовується","Річна","","","","","94.8","90.1","87.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Яйця","Не застосовується","Річна","","","","","215","217","229"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Риба та рибні продукти","Не застосовується","Річна","5.4","5.7","7.3","8.6","9","9.2","10"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Плоди, ягоди та виноград","Не застосовується","Річна","36.7","34.6","38.2","41.2","45.3","43","44.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","М'ясо та м'ясні продукти","Не застосовується","Річна","37.5","39.6","36.3","39.8","41.8","43.5","42.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Молоко та молочні продукти","Не застосовується","Річна","","","","","147.4","150.6","158.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Олія","Не застосовується","Річна","","","","","11.5","11.6","12.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Картопля","Не застосовується","Річна","","","","","110.6","110.9","106.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Цукор","Не застосовується","Річна","","","","","29","27.9","28.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Луганська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","114.7","117.6","119.3","118.1","117.6","106.5","107.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Хлібні продукти","Не застосовується","Річна","","","","","93.6","93.6","92.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Яйця","Не застосовується","Річна","","","","","290","278","280"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Риба та рибні продукти","Не застосовується","Річна","6.6","7.5","8.3","8.9","9.4","9.6","10.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Плоди, ягоди та виноград","Не застосовується","Річна","48.4","46.2","48.8","54.7","58.5","58.5","65.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","М'ясо та м'ясні продукти","Не застосовується","Річна","47","48.8","50.7","50.4","52.1","53.1","51.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Молоко та молочні продукти","Не застосовується","Річна","","","","","215.3","225.9","222.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Олія","Не застосовується","Річна","","","","","12.8","13.6","15"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Картопля","Не застосовується","Річна","","","","","178.4","180.1","179.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Цукор","Не застосовується","Річна","","","","","30.4","29.2","31.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Львівська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","150.3","159.8","155.1","164.5","171.2","182.8","184.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Хлібні продукти","Не застосовується","Річна","","","","","102","105.8","103.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Яйця","Не застосовується","Річна","","","","","280","266","258"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Риба та рибні продукти","Не застосовується","Річна","8.8","9.8","10.6","12.4","13.4","13.4","13.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Плоди, ягоди та виноград","Не застосовується","Річна","51.1","47.6","51.3","58.6","62.1","60","60.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","М'ясо та м'ясні продукти","Не застосовується","Річна","44.2","46.6","48.1","54.6","54","57.2","54.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Молоко та молочні продукти","Не застосовується","Річна","","","","","204.3","205.4","199.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Олія","Не застосовується","Річна","","","","","13.4","13.6","14.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Картопля","Не застосовується","Річна","","","","","116.7","123.5","125.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Цукор","Не застосовується","Річна","","","","","29.4","28.3","28.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Миколаївська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","189.9","187.2","176.4","180.4","179.4","172.4","177.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Хлібні продукти","Не застосовується","Річна","","","","","99.5","98.2","93.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Яйця","Не застосовується","Річна","","","","","264","263","238"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Риба та рибні продукти","Не застосовується","Річна","12","13","14.7","15.4","16","15.1","15.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Плоди, ягоди та виноград","Не застосовується","Річна","60.2","55","57.6","65.5","64.3","59.5","58.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","М'ясо та м'ясні продукти","Не застосовується","Річна","48","47.2","48","48.5","48","50.1","48.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Молоко та молочні продукти","Не застосовується","Річна","","","","","185.8","180.2","175.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Олія","Не застосовується","Річна","","","","","14.3","14","15"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Картопля","Не застосовується","Річна","","","","","102.1","96.7","90.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Цукор","Не застосовується","Річна","","","","","27","26.3","26.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Одеська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","169.5","161.1","150.1","158.2","160.5","165.3","167.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Хлібні продукти","Не застосовується","Річна","","","","","102","97.2","91.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Яйця","Не застосовується","Річна","","","","","290","284","281"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Риба та рибні продукти","Не застосовується","Річна","7.9","8.8","10.3","10.7","12","12.2","12.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Плоди, ягоди та виноград","Не застосовується","Річна","52.6","48","52.1","53","54.7","58.3","57.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","М'ясо та м'ясні продукти","Не застосовується","Річна","49.6","50.7","50.9","51.1","52.8","50.9","48.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Молоко та молочні продукти","Не застосовується","Річна","","","","","201.5","195.5","196.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Олія","Не застосовується","Річна","","","","","10.9","11.2","13.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Картопля","Не застосовується","Річна","","","","","141.9","137.7","138.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Цукор","Не застосовується","Річна","","","","","28.5","27.9","28"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Полтавська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","188.5","188.5","182.6","186.8","188.8","179","182.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Хлібні продукти","Не застосовується","Річна","","","","","90.6","90.5","92"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Яйця","Не застосовується","Річна","","","","","290","278","264"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Риба та рибні продукти","Не застосовується","Річна","6.6","7.9","8.1","9","10.5","11","11.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Плоди, ягоди та виноград","Не застосовується","Річна","40.6","38","41","41.8","44.8","44.7","47.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","М'ясо та м'ясні продукти","Не застосовується","Річна","46.1","48.3","46.4","46","47.4","48.5","48.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Молоко та молочні продукти","Не застосовується","Річна","","","","","191.7","190.5","192.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Олія","Не застосовується","Річна","","","","","10.4","10.6","12"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Картопля","Не застосовується","Річна","","","","","168.6","158.8","159.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Цукор","Не застосовується","Річна","","","","","28.3","27.6","28.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Рівненська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","141.7","137.2","149.9","147.4","150.4","145.5","149"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Хлібні продукти","Не застосовується","Річна","","","","","100.5","98.5","97.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Яйця","Не застосовується","Річна","","","","","288","275","274"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Риба та рибні продукти","Не застосовується","Річна","6","7","8.3","9.1","9.5","10.6","11.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Плоди, ягоди та виноград","Не застосовується","Річна","38.6","36.3","39.6","46.9","45.8","43.3","44.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","М'ясо та м'ясні продукти","Не застосовується","Річна","48.6","47.3","47.6","47.9","48.9","51.4","47.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Молоко та молочні продукти","Не застосовується","Річна","","","","","182.4","180.4","180.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Олія","Не застосовується","Річна","","","","","10.8","10.7","12.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Картопля","Не застосовується","Річна","","","","","175.7","168","158"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Цукор","Не застосовується","Річна","","","","","31","29.3","29.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Сумська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","168.1","164.3","156.7","171.8","168.3","163.4","168.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Хлібні продукти","Не застосовується","Річна","","","","","98.4","93.6","93.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Яйця","Не застосовується","Річна","","","","","290","280","267"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Риба та рибні продукти","Не застосовується","Річна","5.5","6.4","8","8.4","9.6","9.4","10.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Плоди, ягоди та виноград","Не застосовується","Річна","41.7","42","45.2","49.2","53.7","52.1","53.9"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","М'ясо та м'ясні продукти","Не застосовується","Річна","47.9","46.6","47.5","47","48.9","47.7","48.8"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Молоко та молочні продукти","Не застосовується","Річна","","","","","245.1","237.8","222.3"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Олія","Не застосовується","Річна","","","","","13.1","13.1","14.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Картопля","Не застосовується","Річна","","","","","163.1","156.5","157.6"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Цукор","Не застосовується","Річна","","","","","26.1","24.8","26.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Тернопільська","Овочі та баштанні продовольчі культури","Не застосовується","Річна","164.8","161.2","160.9","159.3","167.9","162.8","164.4"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Хлібні продукти","Не застосовується","Річна","","","","","90.4","91.9","85.5"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Яйця","Не застосовується","Річна","","","","","278","272","273"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Риба та рибні продукти","Не застосовується","Річна","6.9","8","8.7","9.2","9.2","9.5","9.7"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Плоди, ягоди та виноград","Не застосовується","Річна","52.2","52.1","55.3","55.7","55.6","50.7","50.2"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","М'ясо та м'ясні продукти","Не застосовується","Річна","52.8","51.2","52","52.1","52","53.5","52"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Молоко та молочні продукти","Не застосовується","Річна","","","","","203.9","202.6","199.1"
"Споживання населенням продуктів харчування у розрахунку на одну особу","Харківська","Олія","Не застосовується","Річна","","","","","10.9","11.2","12"
