"Показник","Територіальний розріз","Категорія розрізу","Розріз","Стать","Тип домогосподарства","Періодичність","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12"
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства, які очолюють жінки","Річна","1.3","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.7","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","0.7","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","1.1","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","1","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Загалом","Річна","1","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства, які очолюють жінки","Річна","1.4","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","4.3","","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","2","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.6","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сади","Не застосовується","Загалом","Річна","1.1","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства, які очолюють жінки","Річна","9.8","","","","","","","","","","","","","","","","","9.9","","","","","","","","","","","","","","","","","10.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","6.5","","","","","","","","","","","","","","","","","6.4","","","","","","","","","","","","","","","","","6.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","8.1","","","","","","","","","","","","","","","","","7.2","","","","","","","","","","","","","","","","","7.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","10","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","10.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","8.8","","","","","","","","","","","","","","","","","9.4","","","","","","","","","","","","","","","","","8.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Загалом","Річна","8.8","","","","","","","","","","","","","","","","","9.2","","","","","","","","","","","","","","","","","8.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства, які очолюють жінки","Річна","1.7","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","5.4","","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","1.2","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","2.4","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.7","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Загалом","Річна","1.3","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства, які очолюють жінки","Річна","0.1","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.6","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства, які очолюють чоловіки","Річна","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Україна","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Загалом","Річна","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","95.2","","","","","","","","","","","","","","","","","95.4","","","","","","","","","","","","","","","","","94.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","94.2","","","","","","","","","","","","","","","","","95.3","","","","","","","","","","","","","","","","","95.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","97.6","","","","","","","","","","","","","","","","","96.4","","","","","","","","","","","","","","","","","96.7","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Рілля","Не застосовується","Загалом","Річна","96.4","","","","","","","","","","","","","","","","","96","","","","","","","","","","","","","","","","","96.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.6","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0.6","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.1","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Загалом","Річна","0.3","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.7","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0.9","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Загалом","Річна","0.3","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","2.5","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","3.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","3","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.7","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сади","Не застосовується","Загалом","Річна","1.5","","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","1.3","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","1.6","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Загалом","Річна","1.5","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","3.1","","","","","","","","","","","","","","","","","3.4","","","","","","","","","","","","","","","","","3.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","3.6","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.8","","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Загалом","Річна","1.8","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","2.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Вінницька","Вид сільськогосподарських угідь","Виноградники","Не застосовується","Загалом","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","90.7","","","","","","","","","","","","","","","","","91.9","","","","","","","","","","","","","","","","","93.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","93.6","","","","","","","","","","","","","","","","","93.8","","","","","","","","","","","","","","","","","94.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Рілля","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","73.4","","","","","","","","","","","","","","","","","66.3","","","","","","","","","","","","","","","","","65.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Рілля","Не застосовується","Загалом","Річна","76.7","","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","","","","","69.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0.4","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0.3","","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Ягідники","Не застосовується","Загалом","Річна","0.1","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Перелоги","Не застосовується","Загалом","Річна","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","5.8","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","1.6","","","","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сади","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.4","","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сади","Не застосовується","Загалом","Річна","0.7","","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","3.1","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","4.5","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","4.1","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","26.1","","","","","","","","","","","","","","","","","33.2","","","","","","","","","","","","","","","","","33.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Сіножаті, пасовища","Не застосовується","Загалом","Річна","22.5","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","","","","","29.9","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,5 га і менше","Річна","6.2","","","","","","","","","","","","","","","","","5.6","","","","","","","","","","","","","","","","","4.4","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 0,51–1,00 га","Річна","1.9","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","","","",""
"Частка сільськогосподарських угідь за видами у загальній площі сільськогосподарських угідь","Волинська","Вид сільськогосподарських угідь","Багаторічні насадження","Не застосовується","Домогосподарства з площею землі 1,01 га і більше","Річна","0.5","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","",""
