"Показник","Територіальний розріз","Вид сільськогосподарської продукції","Періодичність","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02"
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза","Місячна","181931","412544","626732","858640","1028427","1118186","1134276","1148747","1221020","1832201","2525752","3153816","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 1 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Кукурудза 3 класу","Місячна","180222","407056","616591","842959","1012120","1100922","1116886","1128337","1186318","1777416","2468703","3095186","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Культури зернобобові сушені","Місячна","2845","6563","12940","20226","25346","30438","37117","52144","59777","62285","67239","69722","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Просо","Місячна","1429","3452","5406","6183","7263","8222","8698","9603","11273","12605","13409","13482","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Овес","Місячна","3167","7000","11601","15777","18769","22444","24186","27499","35389","36490","40729","44809","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Горох сушений","Місячна","2786","6502","12879","19999","25003","28855","35410","49555","56917","59425","64186","66669","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Рис нелущений","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито","Місячна","960","1945","4332","5845","9931","17301","21941","27913","38884","45686","50937","56634","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 1 класу","Місячна","","","","","","","","","","2010","2358","2962","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 2 класу","Місячна","520","1048","2835","3468","4816","7573","11569","13696","19302","22264","25266","29036","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 3 класу","Місячна","","","826","1346","4007","7979","8296","","12836","16090","17979","19044","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Жито 4 класу","Місячна","","","","","","","","1869","","4000","4012","4270","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Насіння ріпаку й кользи","Місячна","","","","","","","250724","561516","669931","675965","676475","678728","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Насіння соняшнику","Місячна","219167","470211","688538","835517","931125","993991","1037538","1078539","1500894","2013642","2632672","2973038","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Боби сої","Місячна","40836","140436","241371","315394","401684","460660","483141","494745","540814","737199","871223","970470","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця","Місячна","152741","308920","546255","730829","894842","1008966","1763285","2564883","3153139","3439567","3742347","4050739","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої","Місячна","","308521","544939","729431","892061","1005060","1759269","2559647","3145133","3430310","3732141","4040247","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 1 класу","Місячна","","","","","","","","","","1483","1483","1555","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 2 класу","Місячна","","144270","270361","356219","430646","483354","669936","","","1060653","1147097","1231984","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 3 класу","Місячна","","135151","215814","296494","359662","401519","726326","1104742","1363995","1500255","1651298","1814764","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","596250","790338","853201","916558","975090","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Україна","Пшениця тверда","Місячна","","399","1316","1398","2781","3906","4016","5236","8006","9257","10206","10492","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Ячмінь","Місячна","","","","","","","20019","23593","26217","30881","31803","32277","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","32277","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Культури зернові та зернобобові","Місячна","42179","103038","149526","187785","245207","287565","333489","371450","417748","483243","551600","616224","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Кукурудза","Місячна","23758","53398","78511","104927","136619","145816","146742","147178","153182","196929","233342","280842","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","280842","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Насіння соняшнику","Місячна","14694","29221","36181","37678","39998","42579","42683","42683","50573","59802","69576","79061","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця","Місячна","18044","47560","67094","77268","102743","130898","161755","195651","233271","250200","280869","297157","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","297157","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","62899","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","149027","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Вінницька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","84121","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Ячмінь","Місячна","","","","","","","13847","14604","15957","17480","17945","19522","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","19522","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Культури зернові та зернобобові","Місячна","20552","35426","48169","58616","70383","83980","115581","167810","210698","243522","340301","384582","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Кукурудза","Місячна","","26546","33486","42362","47220","56375","57521","60773","57521","71538","150721","178954","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","178954","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Насіння ріпаку й кользи","Місячна","","","","","","","","","90283","91936","91975","91993","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Боби сої","Місячна","","5422","10950","13873","15683","18692","21173","21267","22044","55566","69858","78787","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця","Місячна","","","","","","","","","124362","139040","152655","164785","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","164785","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Волинська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","35649","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Ячмінь","Місячна","1769","2612","3752","4304","4971","12956","38778","48474","60009","69340","75498","79375","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","76256","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Культури зернові та зернобобові","Місячна","8487","17833","30515","42869","61246","73932","149559","231449","281662","313411","347041","385561","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Кукурудза","Місячна","2331","3744","4596","9328","11169","11254","11254","11304","11584","18656","28334","33887","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","30358","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Насіння ріпаку й кользи","Місячна","","","","","","","","25564","27672","27672","27672","27672","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Насіння соняшнику","Місячна","7692","14918","23317","34416","37625","41050","44978","47062","63843","95949","117575","137489","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця","Місячна","3900","10493","20541","27274","42594","46891","96502","168031","205493","220552","237967","266933","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","266933","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","43580","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","175338","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Дніпропетровська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","46580","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Донецька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Ячмінь","Місячна","","","","","","","2649","3891","4734","4806","4855","4880","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","3934","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Культури зернові та зернобобові","Місячна","16424","34132","42074","51699","55883","61615","78821","100925","125640","144026","173762","197973","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Кукурудза","Місячна","14410","30476","37597","44040","47283","50458","51680","53265","54491","67615","95609","117702","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","117391","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Насіння ріпаку й кользи","Місячна","","","","","","","","36947","38591","39143","39143","39143","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Насіння соняшнику","Місячна","","","","","","","","","","","","10772","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Боби сої","Місячна","","","9582","13810","16646","18983","19998","20055","23487","31477","34959","40052","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця","Місячна","1640","2719","3126","5822","5986","6310","19875","38922","60346","64470","65657","67219","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","67219","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","14517","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","19316","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Житомирська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","33386","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Закарпатська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Ячмінь","Місячна","679","5200","10348","14086","15803","27573","73328","85287","95016","100232","106827","118127","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","115879","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Культури зернові та зернобобові","Місячна","18210","46376","115340","148521","174429","192642","361933","497139","593063","690556","786241","874888","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Кукурудза","Місячна","","","9527","11540","12029","12218","12218","12218","17888","63478","94717","110063","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Кукурудза 3 класу","Місячна","","","","","","","","","","","","110063","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Насіння ріпаку й кользи","Місячна","","","","","","","34030","61452","77858","78318","78318","78318","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Насіння соняшнику","Місячна","64905","146892","216439","261247","304886","315859","320532","320983","405895","503692","588715","682972","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця","Місячна","16077","34418","94928","122296","145888","152142","273765","394614","474234","520445","578160","640021","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","639870","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","216771","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","284739","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Запорізька","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","132103","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Ячмінь","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Культури зернові та зернобобові","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Кукурудза","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Насіння соняшнику","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Боби сої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Пшениця","Місячна","2818","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Пшениця, крім пшениці твердої","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Пшениця, крім пшениці твердої 2 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Пшениця, крім пшениці твердої 3 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Івано-Франківська","Пшениця, крім пшениці твердої 4 класу","Місячна","","","","","","","","","","","","","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Ячмінь","Місячна","","","","","","1649","7549","11436","14228","15063","15100","15623","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Ячмінь товарний 3 класу","Місячна","","","","","","","","","","","","13607","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Культури зернові та зернобобові","Місячна","22609","46369","65432","92817","111034","124765","152345","185649","214666","270367","323348","350188","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Кукурудза","Місячна","13828","27549","35930","54490","63923","70189","71870","71870","73557","117953","161802","181036","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Кукурудза 3 класу","Місячна","","","","","","","","","","","","163979","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Насіння ріпаку й кользи","Місячна","","","","","","","","","","15615","15890","18100","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Насіння соняшнику","Місячна","2475","4935","8247","11861","12827","12966","13024","13024","14886","20548","22427","29084","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Боби сої","Місячна","","1028","1382","1761","3196","5389","5677","6442","7961","11263","14035","13393","",""
"Маса зерна і насіння, купленого підприємствами, які займаються його зберіганням та переробленням","Київська","Пшениця","Місячна","6146","13019","20339","26453","32923","37611","57215","85043","104283","112990","119764","123521","",""
